,feature,importance_gain,importance_split,trn_score
0,low_volume_percent,21.100604010745883,19,0.912559997909739
1,middle_volume_percent,33.05724700912833,30,0.912559997909739
2,take_amount_in_later_12_month_highest,341.3270633276552,313,0.912559997909739
3,trans_amount_increase_rate_lately,305.3442306164652,299,0.912559997909739
4,trans_activity_month,26.133960228413343,26,0.912559997909739
5,trans_activity_day,14.628972193226218,12,0.912559997909739
6,transd_mcc,151.88267685845494,121,0.912559997909739
7,trans_days_interval_filter,246.66333995386958,212,0.912559997909739
8,trans_days_interval,242.46715172939003,182,0.912559997909739
9,regional_mobility,29.58924901485443,27,0.912559997909739
10,repayment_capability,343.99063451215625,309,0.912559997909739
11,is_high_user,0.0,0,0.912559997909739
12,number_of_trans_from_2011,224.55641890130937,181,0.912559997909739
13,first_transaction_time,463.9233165066689,346,0.912559997909739
14,historical_trans_amount,540.4784818887711,268,0.912559997909739
15,historical_trans_day,344.0066251717508,208,0.912559997909739
16,rank_trad_1_month,1.9070099592208862,1,0.912559997909739
17,trans_amount_3_month,1293.130028553307,401,0.912559997909739
18,avg_consume_less_12_valid_month,62.09779725968838,46,0.912559997909739
19,abs,402.9369885735214,293,0.912559997909739
20,top_trans_count_last_1_month,24.386667102575302,12,0.912559997909739
21,avg_price_last_12_month,427.6825914606452,285,0.912559997909739
22,avg_price_top_last_12_valid_month,123.77920995652676,75,0.912559997909739
23,reg_preference_for_trad,14.51584604382515,15,0.912559997909739
24,trans_top_time_last_1_month,288.7472645044327,138,0.912559997909739
25,trans_top_time_last_6_month,228.9938791692257,154,0.912559997909739
26,consume_top_time_last_1_month,408.7076082751155,160,0.912559997909739
27,consume_top_time_last_6_month,140.09401480853558,89,0.912559997909739
28,cross_consume_count_last_1_month,28.86578819155693,21,0.912559997909739
29,trans_fail_top_count_enum_last_1_month,4925.195017814636,591,0.912559997909739
30,trans_fail_top_count_enum_last_6_month,147.4576525092125,84,0.912559997909739
31,trans_fail_top_count_enum_last_12_month,188.57737305015326,101,0.912559997909739
32,consume_mini_time_last_1_month,197.32053846865892,138,0.912559997909739
33,max_cumulative_consume_later_1_month,1019.5499890223145,367,0.912559997909739
34,max_consume_count_later_6_month,100.84440102428198,77,0.912559997909739
35,railway_consume_count_last_12_month,0.0,0,0.912559997909739
36,pawns_auctions_trusts_consume_last_1_month,256.9589421749115,166,0.912559997909739
37,pawns_auctions_trusts_consume_last_6_month,296.6527167968452,210,0.912559997909739
38,jewelry_consume_count_last_6_month,0.0,0,0.912559997909739
39,trans_day_last_12_month,1053.6398711651564,317,0.912559997909739
40,apply_credibility,182.86089808121324,130,0.912559997909739
41,query_org_count,131.35425869747996,97,0.912559997909739
42,query_finance_count,113.26461028307676,73,0.912559997909739
43,query_cash_count,64.40140533447266,44,0.912559997909739
44,query_sum_count,148.7283237501979,97,0.912559997909739
45,latest_one_month_apply,130.8857618123293,93,0.912559997909739
46,latest_three_month_apply,113.1216355226934,79,0.912559997909739
47,latest_six_month_apply,107.65978904813528,74,0.912559997909739
48,loans_score,1247.7055544890463,439,0.912559997909739
49,loans_credibility_behavior,125.61346261203289,92,0.912559997909739
50,loans_count,142.39882101118565,91,0.912559997909739
51,loans_settle_count,178.17711084708571,84,0.912559997909739
52,loans_overdue_count,112.35600730776787,44,0.912559997909739
53,loans_org_count_behavior,145.979129165411,96,0.912559997909739
54,consfin_org_count_behavior,97.50675281882286,65,0.912559997909739
55,latest_one_month_loan,47.86274313926697,28,0.912559997909739
56,latest_three_month_loan,117.21119090914726,68,0.912559997909739
57,latest_six_month_loan,150.70755123347044,100,0.912559997909739
58,history_suc_fee,428.19437492638826,178,0.912559997909739
59,history_fail_fee,1054.566808514297,297,0.912559997909739
60,latest_one_month_suc,964.682704359293,274,0.912559997909739
61,latest_one_month_fail,507.1855064108968,122,0.912559997909739
62,loans_long_time,267.6324859261513,193,0.912559997909739
63,loans_credit_limit,92.50645935535431,76,0.912559997909739
64,loans_credibility_limit,94.77240093052387,69,0.912559997909739
65,loans_product_count,140.39709056913853,80,0.912559997909739
66,loans_max_limit,216.8930634111166,135,0.912559997909739
67,loans_avg_limit,216.28311819210649,169,0.912559997909739
68,consfin_credit_limit,205.67649440467358,130,0.912559997909739
69,consfin_credibility,138.42735278606415,103,0.912559997909739
70,consfin_product_count,88.00936724245548,68,0.912559997909739
71,consfin_max_limit,192.5321864746511,132,0.912559997909739
72,consfin_avg_limit,420.8172387480736,241,0.912559997909739
73,latest_query_day,465.79806350916624,229,0.912559997909739
74,loans_latest_day,304.85758052021265,177,0.912559997909739
75,tradeno_day,9.274820029735565,9,0.912559997909739
76,is_Li_Ming,0.0,0,0.912559997909739
77,cust_id_bin,85.27087446302176,55,0.912559997909739
78,student_feat_1,42.41892698407173,29,0.912559997909739
79,student_feat_2,0.0,0,0.912559997909739
80,latest_query_time_year,0.0,0,0.912559997909739
81,latest_query_time_month,14.571817219257355,12,0.912559997909739
82,latest_query_time_dayofyear,322.9495489485562,197,0.912559997909739
83,latest_query_time_dayofweek,116.76610034704208,79,0.912559997909739
84,latest_query_time_weekday,1.5895419865846634,2,0.912559997909739
85,loans_latest_time_year,0.0,0,0.912559997909739
86,loans_latest_time_month,67.13499288260937,32,0.912559997909739
87,loans_latest_time_dayofyear,274.030330337584,163,0.912559997909739
88,loans_latest_time_dayofweek,73.92990836501122,55,0.912559997909739
89,loans_latest_time_weekday,0.0,0,0.912559997909739
90,interval_query_loan_time,286.3105308189988,195,0.912559997909739
91,trans_fail_top_count_enum_sum,604.536763958633,255,0.912559997909739
92,trans_fail_top_count_enum_sum_bins,0.0,0,0.912559997909739
93,trans_fail_top_count_enum_sum_bincount,42.66188398003578,20,0.912559997909739
94,trans_fail_top_count_enum_sum_bins_rank,10.626029193401337,5,0.912559997909739
95,history_fail_fee_bins,0.0,0,0.912559997909739
96,history_fail_fee_bincount,97.91715967655182,11,0.912559997909739
97,history_fail_fee_bins_rank,122.16370996832848,41,0.912559997909739
98,loans_overdue_count_bins,0.0,0,0.912559997909739
99,loans_overdue_count_bincount,54.40312373638153,17,0.912559997909739
100,loans_overdue_count_bins_rank,43.58590491116047,16,0.912559997909739
101,latest_one_month_fail_bins,0.0,0,0.912559997909739
102,latest_one_month_fail_bincount,33.92936164140701,18,0.912559997909739
103,latest_one_month_fail_bins_rank,435.9935861825943,69,0.912559997909739
104,loans_score_bins,2.1171000003814697,1,0.912559997909739
105,loans_score_bincount,50.11876571178436,26,0.912559997909739
106,loans_score_bins_rank,43.48927789926529,12,0.912559997909739
107,corr_rank_sum,6973.916858702898,411,0.912559997909739
108,corr_rank_max,1159.4218169003725,200,0.912559997909739
109,bin_counts_sum,336.7626023069024,205,0.912559997909739
110,trans_top_time_last_6_month+consume_top_time_last_6_month,96.75548864901066,67,0.912559997909739
111,trans_fail_top_count_enum_last_12_month+trans_fail_top_count_enum_last_6_month,190.21578580141068,102,0.912559997909739
112,loans_settle_count/loans_count,3707.153283908963,463,0.912559997909739
113,history_suc_fee/loans_count,503.15317396074533,271,0.912559997909739
114,loans_org_count_behavior/loans_settle_count,353.32351845502853,228,0.912559997909739
115,loans_credit_limit+loans_avg_limit,203.49397560954094,141,0.912559997909739
116,loans_overdue_count_bins/loans_overdue_count,29.43930783867836,16,0.912559997909739
117,loans_overdue_count_bins_rank/loans_overdue_count,13.088045969605446,13,0.912559997909739
118,latest_one_month_fail/latest_one_month_fail_bins,11.915311127901077,7,0.912559997909739
